2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175691_1 to BeaconLateral Object 540_29175692_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175693_1 to BeaconLateral Object 540_29175694_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175484_1 to BeaconSpecialPurposeGeneral Object 540_29175482_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175688_1 to BeaconSpecialPurposeGeneral Object 540_29175690_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175550_1 to BuoyLateral Object 540_29175549_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175548_1 to BuoyLateral Object 540_29175547_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175552_1 to BuoyLateral Object 540_29175551_1
2023-10-20 06:50:23,634 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175600_1 to LightSectored Object 540_29175599_1
2023-10-20 06:50:23,634 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175658_1 to LightSectored Object 540_29175657_1
2023-10-20 06:50:23,634 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175649_1 to LightSectored Object 540_29175650_1
2023-10-20 06:50:23,635 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175595_1 to LightSectored Object 540_29175594_1
2023-10-20 06:50:23,635 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175391_1 to LightSectored Object 540_29175392_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175600_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175601_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175658_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175659_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175649_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175648_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175595_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175596_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175391_1
2023-10-20 06:50:23,636 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175390_1
2023-10-20 06:50:23,636 INFO  [AttributeConverterImpl] 1810_117968331_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-10-20 06:50:23,636 INFO  [AttributeConverterImpl] 1810_117968332_2 : Attribute type VERCCL has been removed from the S101 feature type Bridge
2023-10-20 06:50:23,636 INFO  [AttributeConverterImpl] 1810_117968333_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-10-20 06:50:23,636 INFO  [AttributeConverterImpl] 1810_117968335_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-10-20 06:50:23,636 INFO  [AttributeConverterImpl] 1810_117968336_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-10-20 06:50:23,636 INFO  [AttributeConverterImpl] 1810_117968337_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-10-20 06:50:23,679 INFO  [S57ToS101Converter] CTRPNT-P
2023-10-20 06:50:23,679 INFO  [S57ToS101Converter] CTRPNT-P
2023-10-20 06:50:23,679 INFO  [S57ToS101Converter] C_AGGR-unknown
2023-10-20 06:50:23,679 INFO  [S57ToS101] Writing 10100AA_X01NW.000 to ./data-references/dataConverted/s164/V3/TestDataSets/2.1.1 Power Up/S100_ROOT/S-101/DATASET_FILES
